Bulbasaur, 1, grass, poison, | —, —, 7, 13, 20, 27, 34, 41, 48, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Gengar, 94, ghost, poison, | —, —, —, 29, 38, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM21, TM24, TM25, TM29, TM31, TM32, TM34, TM35, TM36, TM40, TM42, TM44, TM46, TM47, TM50, HM04, | Lick, Confuse Ray, Night Shade, Hypnosis, Dream Eater, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Mega Drain, Thunderbolt, Thunder, Psychic, Mimic, Double Team, Bide, Metronome, Self-Destruct, Skull Bash, Dream Eater, Rest, Psywave, Explosion, Substitute, Strength, | 1, 25, , | Gastly, Haunter, Gengar, | , , Trade, 
Onix, 95, rock, ground, | —, —, 15, 19, 25, 33, 43, TM06, TM08, TM09, TM10, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM36, TM44, TM47, TM48, TM50, HM04, | Tackle, Screech, Bind, Rock Throw, Rage, Slam, Harden, Toxic, Body Slam, Take Down, Double-Edge, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Self-Destruct, Rest, Explosion, Rock Slide, Substitute, Strength, | 1, | Onix, | , 
Drowzee, 96, psychic, , | —, —, 12, 17, 24, 29, 32, 37, TM01, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM42, TM44, TM45, TM46, TM49, TM50, HM05, | Pound, Hypnosis, Disable, Confusion, Headbutt, Poison Gas, Psychic, Meditate, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Dream Eater, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, 26, | Drowzee, Hypno, | , , 
Hypno, 97, psychic, , | —, —, —, —, 12, 17, 24, 33, 37, 43, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM42, TM44, TM45, TM46, TM49, TM50, HM05, | Pound, Hypnosis, Disable, Confusion, Disable, Confusion, Headbutt, Poison Gas, Psychic, Meditate, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Dream Eater, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, 26, | Drowzee, Hypno, | , , 
Krabby, 98, water, , | —, —, 20, 25, 30, 35, 40, TM03, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM31, TM32, TM34, TM40, TM44, TM50, HM01, HM03, HM04, | Bubble, Leer, Vice Grip, Guillotine, Stomp, Crabhammer, Harden, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mimic, Double Team, Bide, Skull Bash, Rest, Substitute, Cut, Surf, Strength, | 1, 28, | Krabby, Kingler, | , , 
Kingler, 99, water, , | —, —, —, 20, 25, 34, 42, 49, TM03, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM31, TM32, TM34, TM40, TM44, TM50, HM01, HM03, HM04, | Bubble, Leer, Vice Grip, Vice Grip, Guillotine, Stomp, Crabhammer, Harden, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mimic, Double Team, Bide, Skull Bash, Rest, Substitute, Cut, Surf, Strength, | 1, 28, | Krabby, Kingler, | , , 
Voltorb, 100, electric, , | —, —, 17, 22, 29, 36, 43, TM06, TM09, TM24, TM25, TM30, TM31, TM32, TM33, TM34, TM36, TM39, TM44, TM45, TM47, TM50, HM05, | Tackle, Screech, Sonic Boom, Self-Destruct, Light Screen, Swift, Explosion, Toxic, Take Down, Thunderbolt, Thunder, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Swift, Rest, Thunder Wave, Explosion, Substitute, Flash, | 1, 30, | Voltorb, Electrode, | , , 
Electrode, 101, electric, , | —, —, —, 17, 22, 29, 40, 50, TM06, TM09, TM15, TM24, TM25, TM30, TM31, TM32, TM33, TM34, TM36, TM39, TM44, TM45, TM47, TM50, HM05, | Tackle, Screech, Sonic Boom, Sonic Boom, Self-Destruct, Light Screen, Swift, Explosion, Toxic, Take Down, Hyper Beam, Thunderbolt, Thunder, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Swift, Rest, Thunder Wave, Explosion, Substitute, Flash, | 1, 30, | Voltorb, Electrode, | , , 
Exeggcute, 102, grass, psychic, | —, —, 25, 28, 32, 37, 42, 48, TM06, TM09, TM10, TM20, TM29, TM30, TM31, TM32, TM33, TM34, TM36, TM37, TM44, TM46, TM47, TM50, | Barrage, Hypnosis, Reflect, Leech Seed, Stun Spore, Poison Powder, Solar Beam, Sleep Powder, Toxic, Take Down, Double-Edge, Rage, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Egg Bomb, Rest, Psywave, Explosion, Substitute, | 1, , | Exeggcute, Exeggutor, | , leafstone, 
Exeggutor, 103, grass, psychic, | —, —, 28, TM06, TM09, TM10, TM15, TM20, TM21, TM22, TM29, TM30, TM31, TM32, TM33, TM34, TM36, TM37, TM44, TM46, TM47, TM50, HM04, | Barrage, Hypnosis, Stomp, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Self-Destruct, Egg Bomb, Rest, Psywave, Explosion, Substitute, Strength, | 1, , | Exeggcute, Exeggutor, | , leafstone, 
Cubone, 104, ground, , | —, —, 25, 31, 38, 43, 46, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM38, TM40, TM44, TM50, HM04, | Bone Club, Growl, Leer, Focus Energy, Thrash, Bonemerang, Rage, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Substitute, Strength, | 1, 28, | Cubone, Marowak, | , , 
Marowak, 105, ground, , | —, —, —, —, 25, 33, 41, 48, 55, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM34, TM38, TM40, TM44, TM50, HM04, | Bone Club, Growl, Leer, Focus Energy, Leer, Focus Energy, Thrash, Bonemerang, Rage, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Substitute, Strength, | 1, 28, | Cubone, Marowak, | , , 
Hitmonlee, 106, fighting, , | —, —, 33, 38, 43, 48, 53, TM01, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM31, TM32, TM34, TM35, TM39, TM40, TM44, TM50, HM04, | Double Kick, Meditate, Rolling Kick, Jump Kick, Focus Energy, Hi Jump Kick, Mega Kick, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Mimic, Double Team, Bide, Metronome, Swift, Skull Bash, Rest, Substitute, Strength, | 1, | Hitmonlee, | , 
Hitmonchan, 107, fighting, , | —, —, 33, 38, 43, 48, 53, TM01, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM31, TM32, TM34, TM35, TM39, TM40, TM44, TM50, HM04, | Comet Punch, Agility, Fire Punch, Ice Punch, Thunder Punch, Mega Punch, Counter, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Mimic, Double Team, Bide, Metronome, Swift, Skull Bash, Rest, Substitute, Strength, | 1, | Hitmonchan, | , 
Lickitung, 108, normal, , | —, —, 7, 15, 23, 31, 39, TM01, TM03, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM24, TM25, TM26, TM27, TM31, TM32, TM34, TM38, TM40, TM44, TM50, HM01, HM03, HM04, | Wrap, Supersonic, Stomp, Disable, Defense Curl, Slam, Screech, Mega Punch, Swords Dance, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Substitute, Cut, Surf, Strength, | 1, | Lickitung, | , 
Koffing, 109, poison, , | —, —, 32, 37, 40, 45, 48, TM06, TM20, TM24, TM25, TM31, TM32, TM34, TM36, TM38, TM44, TM47, TM50, | Tackle, Smog, Sludge, Smokescreen, Self-Destruct, Haze, Explosion, Toxic, Rage, Thunderbolt, Thunder, Mimic, Double Team, Bide, Self-Destruct, Fire Blast, Rest, Explosion, Substitute, | 1, 35, | Koffing, Weezing, | , , 
Weezing, 110, poison, , | —, —, —, 32, 39, 43, 49, 53, TM06, TM15, TM20, TM24, TM25, TM31, TM32, TM34, TM36, TM38, TM44, TM47, TM50, | Tackle, Smog, Sludge, Sludge, Smokescreen, Self-Destruct, Haze, Explosion, Toxic, Hyper Beam, Rage, Thunderbolt, Thunder, Mimic, Double Team, Bide, Self-Destruct, Fire Blast, Rest, Explosion, Substitute, | 1, 35, | Koffing, Weezing, | , , 
Rhyhorn, 111, ground, rock, | —, 30, 35, 40, 45, 50, 55, TM06, TM07, TM08, TM09, TM10, TM20, TM24, TM25, TM26, TM27, TM28, TM31, TM32, TM34, TM38, TM40, TM44, TM48, TM50, HM04, | Horn Attack, Stomp, Tail Whip, Fury Attack, Horn Drill, Leer, Take Down, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Strength, | 1, 42, | Rhyhorn, Rhydon, | , , 
Rhydon, 112, ground, rock, | —, 30, 35, 40, 48, 55, 64, TM01, TM05, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM16, TM17, TM18, TM19, TM20, TM24, TM25, TM26, TM27, TM28, TM31, TM32, TM34, TM38, TM40, TM44, TM48, TM50, HM03, HM04, | Horn Attack, Stomp, Tail Whip, Fury Attack, Horn Drill, Leer, Take Down, Mega Punch, Mega Kick, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Pay Day, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Dig, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Surf, Strength, | 1, 42, | Rhyhorn, Rhydon, | , , 
Chansey, 113, normal, , | —, —, 24, 30, 38, 44, 48, 54, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM37, TM38, TM40, TM41, TM44, TM45, TM46, TM49, TM50, HM04, HM05, | Pound, Double Slap, Sing, Growl, Minimize, Defense Curl, Light Screen, Double-Edge, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Egg Bomb, Fire Blast, Skull Bash, Soft-Boiled, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Strength, Flash, | 1, | Chansey, | , 
Tangela, 114, grass, , | —, —, 29, 32, 36, 39, 45, 49, TM03, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM22, TM31, TM32, TM34, TM40, TM44, TM50, HM01, | Constrict, Bind, Absorb, Poison Powder, Stun Spore, Sleep Powder, Slam, Growth, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Bide, Skull Bash, Rest, Substitute, Cut, | 1, | Tangela, | , 
Kangaskhan, 115, normal, , | —, —, 26, 31, 36, 41, 46, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM24, TM25, TM26, TM27, TM31, TM32, TM34, TM38, TM40, TM44, TM48, TM50, HM03, HM04, | Comet Punch, Rage, Bite, Tail Whip, Mega Punch, Leer, Dizzy Punch, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Rock Slide, Substitute, Surf, Strength, | 1, | Kangaskhan, | , 
Horsea, 116, water, , | —, 19, 24, 30, 37, 45, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, | Bubble, Smokescreen, Leer, Water Gun, Agility, Hydro Pump, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, | 1, 32, | Horsea, Seadra, | , , 
Seadra, 117, water, , | —, —, 19, 24, 30, 41, 52, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, | Bubble, Smokescreen, Smokescreen, Leer, Water Gun, Agility, Hydro Pump, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, | 1, 32, | Horsea, Seadra, | , , 
Goldeen, 118, water, , | —, —, 19, 24, 30, 37, 45, 54, TM06, TM07, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, | Peck, Tail Whip, Supersonic, Horn Attack, Fury Attack, Waterfall, Horn Drill, Agility, Toxic, Horn Drill, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, | 1, 33, | Goldeen, Seaking, | , , 
Seaking, 119, water, , | —, —, —, 19, 24, 30, 39, 48, 54, TM06, TM07, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM03, | Peck, Tail Whip, Supersonic, Supersonic, Horn Attack, Fury Attack, Waterfall, Horn Drill, Agility, Toxic, Horn Drill, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Surf, | 1, 33, | Goldeen, Seaking, | , , 
Staryu, 120, water, , | —, 17, 22, 27, 32, 37, 42, 47, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM46, TM49, TM50, HM03, HM05, | Tackle, Water Gun, Harden, Recover, Swift, Minimize, Light Screen, Hydro Pump, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Surf, Flash, | 1, , | Staryu, Starmie, | , waterstone, 
Starmie, 121, water, psychic, | —, —, —, TM06, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM46, TM49, TM50, HM03, HM05, | Tackle, Water Gun, Harden, Toxic, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Surf, Flash, | 1, , | Staryu, Starmie, | , waterstone, 
Mr. Mime, 122, psychic, , | —, —, 15, 23, 31, 39, 47, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM22, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM44, TM45, TM46, TM50, HM05, | Confusion, Barrier, Confusion, Light Screen, Double Slap, Meditate, Substitute, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Solar Beam, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Rest, Thunder Wave, Psywave, Substitute, Flash, | 1, | Mr. Mime, | , 
Scyther, 123, bug, flying, | —, 17, 20, 24, 29, 35, 42, TM03, TM06, TM09, TM10, TM15, TM20, TM31, TM32, TM34, TM39, TM40, TM44, TM50, HM01, | Quick Attack, Leer, Focus Energy, Double Team, Slash, Swords Dance, Agility, Swords Dance, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, Cut, | 1, | Scyther, | , 
Jynx, 124, ice, psychic, | —, —, 18, 23, 31, 39, 47, 58, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM40, TM44, TM46, TM50, | Pound, Lovely Kiss, Lick, Double Slap, Ice Punch, Body Slam, Thrash, Blizzard, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Skull Bash, Rest, Psywave, Substitute, | 1, | Jynx, | , 
Electabuzz, 125, electric, , | —, —, 34, 37, 42, 49, 54, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM35, TM39, TM40, TM44, TM45, TM46, TM50, HM04, HM05, | Quick Attack, Leer, Thunder Shock, Screech, Thunder Punch, Light Screen, Thunder, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Metronome, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Substitute, Strength, Flash, | 1, | Electabuzz, | , 
Magmar, 126, fire, , | —, 36, 39, 43, 48, 52, 55, TM01, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM29, TM30, TM31, TM32, TM34, TM35, TM38, TM40, TM44, TM46, TM50, HM04, | Ember, Leer, Confuse Ray, Fire Punch, Smokescreen, Smog, Flamethrower, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Psychic, Teleport, Mimic, Double Team, Bide, Metronome, Fire Blast, Skull Bash, Rest, Psywave, Substitute, Strength, | 1, | Magmar, | , 
Pinsir, 127, bug, , | —, 25, 30, 36, 43, 49, 54, TM03, TM06, TM08, TM09, TM10, TM15, TM17, TM19, TM20, TM31, TM32, TM34, TM44, TM50, HM01, HM04, | Vice Grip, Seismic Toss, Guillotine, Focus Energy, Harden, Slash, Swords Dance, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Seismic Toss, Rage, Mimic, Double Team, Bide, Rest, Substitute, Cut, Strength, | 1, | Pinsir, | , 
Tauros, 128, normal, , | —, 21, 28, 35, 44, 51, TM06, TM07, TM08, TM09, TM10, TM13, TM14, TM15, TM20, TM24, TM25, TM26, TM27, TM31, TM32, TM34, TM38, TM40, TM44, TM50, HM04, | Tackle, Stomp, Tail Whip, Leer, Rage, Take Down, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Ice Beam, Blizzard, Hyper Beam, Rage, Thunderbolt, Thunder, Earthquake, Fissure, Mimic, Double Team, Bide, Fire Blast, Skull Bash, Rest, Substitute, Strength, | 1, | Tauros, | , 
Magikarp, 129, water, , | —, 15, | Splash, Tackle, | 1, 20, | Magikarp, Gyarados, | , , 
Gyarados, 130, water, flying, | —, —, —, —, 20, 25, 32, 41, 52, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM23, TM24, TM25, TM31, TM32, TM33, TM34, TM38, TM40, TM44, TM50, HM03, HM04, | Bite, Dragon Rage, Leer, Hydro Pump, Bite, Dragon Rage, Leer, Hydro Pump, Hyper Beam, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Dragon Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Fire Blast, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 20, | Magikarp, Gyarados, | , , 
Lapras, 131, water, ice, | —, —, 16, 20, 25, 31, 38, 46, TM06, TM07, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM22, TM23, TM24, TM25, TM29, TM31, TM32, TM33, TM34, TM40, TM44, TM46, TM50, HM03, HM04, | Water Gun, Growl, Sing, Mist, Body Slam, Confuse Ray, Ice Beam, Hydro Pump, Toxic, Horn Drill, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Solar Beam, Dragon Rage, Thunderbolt, Thunder, Psychic, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Psywave, Substitute, Surf, Strength, | 1, | Lapras, | , 
Ditto, 132, normal, , | —, | Transform, | 1, | Ditto, | , 
Eevee, 133, normal, , | —, —, 27, 31, 37, 45, TM06, TM08, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM50, | Tackle, Sand-Attack, Quick Attack, Tail Whip, Bite, Take Down, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Substitute, | 1, , , , | Eevee, Jolteon, Vaporeon, Flareon, | , thunderstone, waterstone, firestone, 
Vaporeon, 134, water, , | —, —, —, —, 27, 31, 31, 40, 42, 44, 48, 54, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM50, HM03, | Tackle, Sand-Attack, Quick Attack, Water Gun, Quick Attack, Water Gun, Tail Whip, Bite, Acid Armor, Haze, Mist, Hydro Pump, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Substitute, Surf, | 1, , , , | Eevee, Jolteon, Vaporeon, Flareon, | , thunderstone, waterstone, firestone, 
Jolteon, 135, electric, , | —, —, —, —, 27, 31, 37, 40, 42, 44, 48, 54, TM06, TM08, TM09, TM10, TM15, TM20, TM24, TM25, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM50, HM05, | Tackle, Sand-Attack, Quick Attack, Thunder Shock, Quick Attack, Thunder Shock, Tail Whip, Thunder Wave, Double Kick, Agility, Pin Missile, Thunder, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Thunderbolt, Thunder, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Substitute, Flash, | 1, , , , | Eevee, Jolteon, Vaporeon, Flareon, | , thunderstone, waterstone, firestone, 
Flareon, 136, fire, , | —, —, —, —, 27, 31, 37, 40, 42, 44, 48, 54, TM06, TM08, TM09, TM10, TM15, TM20, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, | Tackle, Sand-Attack, Quick Attack, Ember, Quick Attack, Ember, Tail Whip, Bite, Leer, Fire Spin, Rage, Flamethrower, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, | 1, , , , | Eevee, Jolteon, Vaporeon, Flareon, | , thunderstone, waterstone, firestone, 
Porygon, 137, normal, , | —, —, —, 23, 28, 35, 42, TM06, TM09, TM10, TM13, TM14, TM15, TM20, TM24, TM25, TM29, TM30, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM45, TM46, TM49, TM50, HM05, | Tackle, Sharpen, Conversion, Psybeam, Recover, Agility, Tri Attack, Toxic, Take Down, Double-Edge, Ice Beam, Blizzard, Hyper Beam, Rage, Thunderbolt, Thunder, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Thunder Wave, Psywave, Tri Attack, Substitute, Flash, | 1, | Porygon, | , 
Omanyte, 138, rock, water, | —, —, 34, 39, 46, 53, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM31, TM32, TM33, TM34, TM44, TM50, HM03, | Water Gun, Withdraw, Horn Attack, Leer, Spike Cannon, Hydro Pump, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Surf, | 1, 40, | Omanyte, Omastar, | , , 
Omastar, 139, rock, water, | —, —, —, 34, 39, 44, 49, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM19, TM20, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM03, | Water Gun, Withdraw, Horn Attack, Horn Attack, Leer, Spike Cannon, Hydro Pump, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Seismic Toss, Rage, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Surf, | 1, 40, | Omanyte, Omastar, | , , 
Kabuto, 140, rock, water, | —, —, 34, 39, 44, 49, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM20, TM31, TM32, TM33, TM34, TM44, TM50, HM03, | Scratch, Harden, Absorb, Slash, Leer, Hydro Pump, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Rage, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Surf, | 1, 40, | Kabuto, Kabutops, | , , 
